datetime;lon;lat;C2H2_excess;ws;wd
2015-04-23 10:04:00;2.1286351237;48.985086571000004;-0.0022316993547921715;1.7375;325.9182
2015-04-23 10:04:01;2.1287605485;48.985083861999996;0.03738602752604964;1.7375;325.9182
2015-04-23 10:04:02;2.1289403344999998;48.98508029600001;-0.031819065624799914;1.7375;325.9182
2015-04-23 10:04:03;2.1291531519999998;48.985076125;-0.03181364834860706;1.7375;325.9182
2015-04-23 10:04:04;2.1292780008000003;48.985073348;-0.052259873438251725;1.7375;325.9182
2015-04-23 10:04:05;2.1294048849;48.985070468;0.009625167534671963;1.7375;325.9182
2015-04-23 10:04:06;2.1295983905;48.985066288;0.08525948607823525;1.7375;325.9182
2015-04-23 10:04:07;2.1297451677;48.985063206999996;0.08296810350323947;1.7375;325.9182
2015-04-23 10:04:08;2.129957261;48.985058755;-0.028774756797749046;1.7375;325.9182
2015-04-23 10:04:09;2.1300983433000003;48.985055798999994;0.0982278926865629;1.7375;325.9182
2015-04-23 10:04:10;2.1303115219;48.985051471000006;0.11327414747460024;1.7375;325.9182
2015-04-23 10:04:11;2.1305973408;48.98504566;-0.06408911865579875;1.7375;325.9182
2015-04-23 10:04:12;2.1307172177;48.98504286399999;-0.06408375676551648;1.7375;325.9182
2015-04-23 10:04:13;2.1308738044999997;48.985039339;0.022810894691926265;1.7375;325.9182
2015-04-23 10:04:14;2.1311070261;48.985034567;0.002420616595761038;1.7375;325.9182
2015-04-23 10:04:15;2.1313482945;48.985030197;0.007342930892943911;1.7375;325.9182
2015-04-23 10:04:16;2.1315150775;48.985027673999994;-0.015420866065505301;1.7375;325.9182
2015-04-23 10:04:17;2.1317706504;48.985023813999995;-0.028669268455040753;1.7375;325.9182
2015-04-23 10:04:18;2.1320329082;48.985017583;-0.09495209139905031;1.7375;325.9182
2015-04-23 10:04:19;2.13221209;48.985012903000005;-0.11507164245105297;1.7375;325.9182
2015-04-23 10:04:20;2.1324491585;48.985007626000005;-0.07449211077351267;1.7375;325.9182
2015-04-23 10:04:21;2.1326667544;48.985003193000004;-0.011183613028317496;1.7375;325.9182
2015-04-23 10:04:22;2.1328269662;48.985000012;-0.0488582616573576;1.7375;325.9182
2015-04-23 10:04:23;2.1330793588;48.98499515;-0.009917748673931026;1.7375;325.9182
2015-04-23 10:04:24;2.1332337146;48.984992153;0.011551568807177226;1.7375;325.9182
2015-04-23 10:04:25;2.1334503065;48.984987913999994;-0.021224189909767044;1.7375;325.9182
2015-04-23 10:04:26;2.1336728979;48.984983536;-0.0005976307647965751;1.7375;325.9182
2015-04-23 10:04:27;2.1338101173;48.984980738999994;0.009792319608180833;1.7375;325.9182
2015-04-23 10:04:28;2.1339991659999997;48.984976636000006;-0.05759683944977656;1.7375;325.9182
2015-04-23 10:04:29;2.1342139309;48.984971118000004;-0.057591569185095504;1.7375;325.9182
2015-04-23 10:04:30;2.1343389784;48.984968121;0.018149957213180357;1.7375;325.9182
2015-04-23 10:04:31;2.1344586831;48.984965201;-0.00202277060476852;1.7375;325.9182
2015-04-23 10:04:32;2.1346263773;48.984961248000005;-0.057179153218101464;1.7375;325.9182
2015-04-23 10:04:33;2.1347437913;48.984958577;0.0019452401196894398;1.7375;325.9182
2015-04-23 10:04:34;2.1349033491;48.984954974;0.0730642097814867;1.7375;325.9182
2015-04-23 10:04:35;2.1350037743;48.984952616;0.06413221239620981;1.7375;325.9182
2015-04-23 10:04:36;2.1351439272;48.984948976999995;-0.07018888157581737;1.7375;325.9182
2015-04-23 10:04:37;2.1353025819;48.984944345;-0.17984636897175235;1.7375;325.9182
2015-04-23 10:04:38;2.1353626600999998;48.984942495;-0.17984114683855032;1.7375;325.9182
2015-04-23 10:04:39;2.1354378603999997;48.984939986;-0.01235914742178551;1.7375;325.9182
2015-04-23 10:04:40;2.1355421608;48.984935154;-0.05517038208198191;1.7375;325.9182
2015-04-23 10:04:41;2.1356353381;48.984928135;-0.06836726004100896;1.7375;325.9182
2015-04-23 10:04:42;2.1356916119;48.98492348;-0.09408999375667251;1.7375;325.9182
2015-04-23 10:04:43;2.13577087;48.98491761100001;0.002096838409897217;1.7375;325.9182
2015-04-23 10:04:44;2.1358154776;48.98491543;-0.004197173534802423;1.7375;325.9182
2015-04-23 10:04:45;2.1358757718;48.984920179;-0.01574067749172664;1.7375;325.9182
2015-04-23 10:04:46;2.1359070636;48.984936213000005;-0.017837413967104088;1.7375;325.9182
2015-04-23 10:04:47;2.1359145881;48.984955737;-0.027970960190927985;1.7375;325.9182
2015-04-23 10:04:48;2.1359086158;48.984968599;-0.010568387286235437;1.7375;325.9182
2015-04-23 10:04:49;2.135884015;48.984982786;-0.07761372636206118;1.7375;325.9182
2015-04-23 10:04:50;2.1358581162;48.984986293;0.06251133901065425;1.7375;325.9182
2015-04-23 10:04:51;2.1358062863;48.984983983999996;-0.08576228725080623;1.7375;325.9182
2015-04-23 10:04:52;2.1357364807;48.98497683;0.11120315435558492;1.7375;325.9182
2015-04-23 10:04:53;2.1356826921;48.984972098;-0.16238743747920958;1.7375;325.9182
2015-04-23 10:04:54;2.1355874978;48.984966866;-0.08355552820906434;1.7375;325.9182
2015-04-23 10:04:55;2.1354423087;48.984966271000005;-0.08355040743154665;1.7375;325.9182
2015-04-23 10:04:56;2.1353388305000003;48.984967803;0.006760484535953903;1.7375;325.9182
2015-04-23 10:04:57;2.1352309694;48.984969698;-0.05365544361296379;1.7375;325.9182
2015-04-23 10:04:58;2.1350680580000003;48.984973276000005;0.023994921944185954;1.7375;325.9182
